,VH_20170401,VH_20170408,VH_20170415,VH_20170422,VH_20170429,VH_20170506,VH_20170513,VH_20170520,VH_20170527,VH_20170603,VH_20170610,VH_20170617,VH_20170624,VH_20170701,VH_20170708,VH_20170715,VH_20170722,VV_20170401,VV_20170408,VV_20170415,VV_20170422,VV_20170429,VV_20170506,VV_20170513,VV_20170520,VV_20170527,VV_20170603,VV_20170610,VV_20170617,VV_20170624,VV_20170701,VV_20170708,VV_20170715,VV_20170722,gws_gewasc
0001ec99b9904ab345b6,0.0155173272001,0.0151290231854,0.0164794207199,0.0179725242575,0.0132275361439,0.00568319550302,0.00676623762113,0.00539347729673,0.00602476481463,0.0102588927213,0.0104316879431,0.0187047444241,0.0292217994909,0.0293498303767,0.0268593953698,0.0248576986683,0.0272889229309,0.0631176155898,0.05824891659,0.0552474018811,0.0582558376352,0.081321137604,0.0507546530633,0.0766902955295,0.0556209648247,0.0502072682127,0.0752769582199,0.0745845167018,0.127077547517,0.147222280468,0.171478966772,0.13187466505,0.121778077397,0.12205952176,1
0001eade537f9211b0ac,0.0105087171802,0.00933201984472,0.0090006115334,0.00910970389127,0.00720448784089,0.0112112878312,0.0118748331201,0.0121857692104,0.0100946800311,0.0116462791505,0.0122101281214,0.0143530252952,0.0150156222985,0.0103753111958,0.0156145818517,0.0127451994106,0.0153660051059,0.0418468731482,0.0323105260539,0.0295644169632,0.029590346433,0.0242360836793,0.0323006583,0.0376344103242,0.0370169465153,0.0313971628603,0.0408335866106,0.0367870357571,0.0508436267335,0.0499616998461,0.0345367779495,0.0445243682016,0.0427801722854,0.0523901350157,0
000156f3552b7f5c97b5,0.00934667056047,0.00763022862932,0.00712942944994,0.00793395508929,0.0090495238899,0.0154346318683,0.0113463227608,0.0100416878677,0.0135367851571,0.0102935819211,0.0105992214047,0.0110854806326,0.0137990397256,0.0109627041368,0.0130723223236,0.0120641615604,0.013947580054,0.029280692784,0.0246309961184,0.0227974681663,0.0264466577202,0.025747260263,0.0465304538723,0.037391165815,0.0279135136245,0.035065563085,0.0341239511958,0.0354673267224,0.0419924115558,0.040370989689,0.0378473631352,0.0398771000093,0.0384847524089,0.0485314005233,0
0001ed223f70eb9ad7a3,0.01128886929,0.0123662935123,0.0109989177817,0.0123521981352,0.00893437714784,0.0149728149382,0.0171890157444,0.0135550934967,0.0137461623854,0.0137664978555,0.0149889465023,0.0206771901825,0.0203863947048,0.0160651157907,0.0106544772055,0.0146460904081,0.0196564548598,0.0560562702651,0.0468345618007,0.045437198962,0.040341155741,0.0305022531658,0.0406568907731,0.0483327145029,0.0438403323904,0.0424553212632,0.039258211155,0.0513106900151,0.0726611899238,0.0695426137779,0.0561065247266,0.0367743185302,0.0474573367112,0.0534652743015,0
0001cb0eddcae7e6c67e,0.0135417537395,0.0129597289626,0.0150409517697,0.0148907478183,0.0159792737624,0.0161621504748,0.0157176970657,0.0165503348106,0.0144679960699,0.0128407897131,0.0116297177503,0.012364410457,0.015803040096,0.010018082179,0.0154612048645,0.0120241819813,0.0142245813654,0.0510209620415,0.0549518204141,0.0442922017088,0.0522829123858,0.0587294122523,0.04837431339,0.0551093027434,0.0538189661079,0.0484548558997,0.0453373404689,0.0414235869292,0.0376834029588,0.0447714588943,0.0368526671642,0.0442598365725,0.0426806706889,0.0410428934854,0
00017f97b5c6e869a36f,0.00995229178033,0.00963784879544,0.00890949903213,0.00834003786459,0.00815258128949,0.00779850222346,0.00763655014261,0.0078425636424,0.0102832962437,0.0130777400804,0.0128165239697,0.00966940460357,0.0128170785119,0.00782985292337,0.0131709771186,0.00888411938311,0.0126885646129,0.04123020029,0.0324443047623,0.0275498246442,0.0266701545425,0.0224039128733,0.0211756165395,0.0199140377403,0.0176820192762,0.0316979209928,0.0626692823271,0.0378475280047,0.040483549897,0.0439733732507,0.0324721125456,0.0420984935917,0.0331501484253,0.0518482848562,0
000108aedc1048feacb0,0.0112662519237,0.0109739360547,0.00976835259031,0.0102656403295,0.0089024893497,0.00951963324963,0.0112486508532,0.0117368887208,0.0125097323832,0.0137995300655,0.0137803826346,0.0138826293763,0.0179506101121,0.0131452285326,0.0143092998333,0.0115504763299,0.0143161409039,0.0552081319512,0.0485972598223,0.0464151241291,0.039382914314,0.0343560473621,0.033299990208,0.0365130480685,0.0339407575923,0.0420235966631,0.0520664383069,0.0459955392533,0.0555983288552,0.0638065201462,0.0517200571112,0.0510496018046,0.0463508566252,0.053571116212,0
0001893fdbffb9ccdd20,0.00825345274901,0.00810300182294,0.00664956420469,0.00680816566424,0.00823909998717,0.0146014302109,0.0106821155266,0.00783584143568,0.0115281417289,0.00985656692659,0.00866564519464,0.0104566494155,0.0116771702165,0.00954447511055,0.0108830421964,0.0100374979005,0.0134315410722,0.0265039826256,0.02574045847,0.0223035268996,0.0237386639217,0.0208239557726,0.035019910156,0.0305941084273,0.0215353187438,0.0294046010809,0.0313174739533,0.0307036564518,0.0363467463198,0.0377531361716,0.0296989107099,0.032444361993,0.0331519896373,0.0410082301939,0
0001cc5b18128519fe7d,0.0120520207901,0.0110975731362,0.0098072141805,0.00959321516153,0.00855477492426,0.00802516370114,0.00815573719902,0.00896582905116,0.0104593335513,0.0138297832379,0.017294572325,0.0120043388904,0.0142227241761,0.0100769643983,0.0151888410922,0.0100116807195,0.0104340639908,0.0431839603693,0.0439756725283,0.0357756390015,0.0357459947512,0.0285765519635,0.0240246465333,0.0251396771392,0.026951707279,0.0343928755056,0.0611182600424,0.0624221852659,0.052066422422,0.046263300197,0.0425315222412,0.0480694990572,0.0423126624233,0.0394587871148,0
0001433302920ece9d72,0.0075819029601,0.00675159093695,0.0080385042999,0.0105794377707,0.01413736889,0.0111826815135,0.00964761535666,0.00939574776715,0.0107171540612,0.0112524241304,0.00954077301933,0.0113154235639,0.0128298029476,0.0120119066003,0.0119308846085,0.00920431703554,0.0119063266116,0.0237915213593,0.0212158359832,0.0298682520566,0.0299232273916,0.0373751038647,0.0307747608856,0.0287297992231,0.0260194060125,0.0356262074134,0.0358380798207,0.0341312755043,0.0394416628203,0.0429372382266,0.0386845766681,0.0385264113641,0.0301905870469,0.044789947119,0
